make,model,price_usd,year,condition,mileage_kilometers,fuel_type,volume_cm3,color,transmission,drive_unit,segment,car_age,mileage_per_year,engine_volume_liters,brand_model
mazda,6,8999,2007,with mileage,150000.0,petrol,2300.0,black,mechanics,,d,19,7894.736842105263,2.3,mazda 6
mazda,6,5300,2006,with mileage,277818.0,petrol,2000.0,silver,mechanics,front-wheel drive,d,20,13890.9,2.0,mazda 6
mazda,6,5100,2004,with mileage,319000.0,diesel,2000.0,gray,mechanics,front-wheel drive,d,22,14500.0,2.0,mazda 6
mazda,6,7550,2007,with mileage,233000.0,petrol,1800.0,black,mechanics,front-wheel drive,d,19,12263.157894736842,1.8,mazda 6
mazda,6,7900,2008,with mileage,182000.0,petrol,2500.0,silver,auto,front-wheel drive,d,18,10111.111111111111,2.5,mazda 6
mazda,6,12900,2013,with mileage,133000.0,petrol,2000.0,gray,auto,front-wheel drive,d,13,10230.76923076923,2.0,mazda 6
mazda,6,3500,2003,with mileage,320000.0,diesel,2000.0,gray,mechanics,front-wheel drive,d,23,13913.04347826087,2.0,mazda 6
mazda,6,5450,2006,with mileage,233354.3,petrol,2300.0,silver,mechanics,front-wheel drive,d,20,11667.715,2.3,mazda 6
mazda,6,5900,2008,with mileage,202776.84,petrol,2300.0,gray,auto,front-wheel drive,d,18,11265.38,2.3,mazda 6
mazda,6,4500,2003,with mileage,216000.0,diesel,2000.0,other,mechanics,front-wheel drive,d,23,9391.304347826086,2.0,mazda 6
mazda,6,8500,2011,with mileage,270000.0,petrol,1800.0,black,mechanics,front-wheel drive,d,15,18000.0,1.8,mazda 6
mazda,6,7500,2003,with mileage,240000.0,diesel,20000.0,silver,mechanics,front-wheel drive,d,23,10434.782608695652,20.0,mazda 6
mazda,6,3590,2006,with mileage,139100.0,petrol,1800.0,silver,mechanics,front-wheel drive,d,20,6955.0,1.8,mazda 6
mazda,6,8000,2007,with mileage,240000.0,petrol,1800.0,purple,mechanics,front-wheel drive,d,19,12631.578947368422,1.8,mazda 6
mazda,6,10600,2011,with mileage,145000.0,petrol,2000.0,white,auto,front-wheel drive,d,15,9666.666666666666,2.0,mazda 6
mazda,6,5400,2007,with mileage,209214.2,petrol,2300.0,gray,auto,front-wheel drive,d,19,11011.273684210528,2.3,mazda 6
mazda,6,10500,2011,with mileage,230000.0,petrol,2000.0,silver,auto,front-wheel drive,d,15,15333.333333333334,2.0,mazda 6
mazda,6,8500,2008,with mileage,302000.0,petrol,2500.0,purple,mechanics,front-wheel drive,d,18,16777.777777777777,2.5,mazda 6
mazda,6,8300,2009,with mileage,231.74496,petrol,2500.0,black,auto,front-wheel drive,d,17,13.632056470588235,2.5,mazda 6
mazda,6,8100,2009,with mileage,146000.0,petrol,2500.0,black,mechanics,front-wheel drive,d,17,8588.235294117647,2.5,mazda 6
